2212
0 duplicate normalized root spellings
2212 records written to verbdata_map.txt
WARNING: vals wrong length: ('krada!', u'01', u'0882') => [u'krad']
WARNING: vals wrong length: ('kradi!', u'01', u'0074') => [u'krand']
WARNING: vals wrong length: ('kradi!', u'01', u'0879') => [u'krand']
WARNING: vals wrong length: ('krapa!', u'01', u'0876') => [u'krap']
WARNING: vals wrong length: ('kramu!', u'01', u'0545') => [u'kram']
WARNING: vals wrong length: ('krIqf!', u'01', u'0405') => [u'krIq']
WARNING: vals wrong length: ('kruYca!', u'01', u'0213') => [u'kruYc']
WARNING: vals wrong length: ('kruqa!', u'06', u'0128') => [u'kruq']
WARNING: vals wrong length: ('kruDa!', u'04', u'0086') => [u'kruD']
WARNING: vals wrong length: ('kruSa!', u'01', u'0992') => [u'kruS']
WARNING: vals wrong length: ('klaTa!', u'01', u'0913') => [u'klaT']
WARNING: vals wrong length: ('klada!', u'01', u'0883') => [u'klad']
WARNING: vals wrong length: ('kladi!', u'01', u'0075') => [u'kland']
WARNING: vals wrong length: ('kladi!', u'01', u'0880') => [u'kland']
WARNING: vals wrong length: ('klapa!', u'10', u'0162') => [u'klap']
WARNING: vals wrong length: ('klamu!', u'04', u'0104') => [u'klam']
WARNING: vals wrong length: ('klidi!', u'01', u'0015') => [u'klind']
WARNING: vals wrong length: ('klidi!', u'01', u'0076') => [u'klind']
WARNING: vals wrong length: ('klidU!', u'04', u'0157') => [u'klid']
WARNING: vals wrong length: ('kliSa!', u'04', u'0057') => [u'kliS']
WARNING: vals wrong length: ('kliSU!', u'09', u'0058') => [u'kliS']
WARNING: vals wrong length: ('klIbf!', u'01', u'0441') => [u'klIb']
WARNING: vals wrong length: ('kluN', u'01', u'1113') => [u'klu']
WARNING: vals wrong length: ('kleSa!', u'01', u'0691') => [u'kleS']
WARNING: vals wrong length: ('kvaRa!', u'01', u'0518') => [u'kvaR']
WARNING: vals wrong length: ('kvaTe!', u'01', u'0981') => [u'kvaT']
WARNING: vals wrong length: ('kzaji!', u'01', u'0873') => [u'kzaYj']
WARNING: vals wrong length: ('kzaji!', u'10', u'0113') => [u'kzaYj']
WARNING: vals wrong length: ('kzaRu!', u'08', u'0003') => [u'kzaR']
